Model,CUB-2011 (Paper),CUB-2011 (Ours),Oxford Flowers (Paper),Oxford Flowers (Ours)
Ours (fc),0.64,0.484,0.73,0.684
Ours (fc+conv),0.66,0.495,0.77,0.744
